Month,Days,Total_Visitors_Predicted,Avg_Daily_Predicted,Peak_Day_Predicted,Min_Day_Predicted,Capacity_Breaches,Avg_Adj_CPI
January,31,1470155,47424,80097,38793,6,0.91
February,28,1904885,68032,100058,48461,24,1.306
March,31,2373899,76577,122085,63860,31,1.469
April,30,3119927,103998,135377,88516,30,1.996
May,31,3393220,109459,167407,91216,31,2.1
June,30,3510773,117026,178007,98635,30,2.246
July,31,3771229,121653,213157,99551,31,2.335
August,31,3638279,117364,180916,96960,31,2.252
September,30,3315983,110533,164432,91113,30,2.121
October,31,2865237,92427,118662,77587,31,1.773
November,30,1742051,58068,80959,44995,24,1.115
December,31,1603086,51712,65800,43023,14,0.993
TOTAL,365,32708724,89613,213157,38793,313,1.72
